"/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8000104009","4020500035","4020500035","4020500037","4020500038","4020500038","4020500035","4020500036","FREE","FREE","FREE","FREE","4010102005","FREE","4010202017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102008","FREE","FREE","FREE","FREE","FREE","FREE","4010202020","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202014","FREE","4010202014","4010102002","FREE"
"8000104010","4020500036","4020500036","4020500036","4020500037","4020500038","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201016","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","4010302026","FREE","FREE","4010103012","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","4010202014","FREE"
"8000104011","4020500036","4020500035","4020500038","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000105001","4020500037","4020500036","4020500035","4020500036","4020500038","4020500035","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","4010102011","4010302026","4010500032","4010301025","4010400028","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103009","FREE","FREE","4010203015","4010201013","FREE","FREE","FREE"
"8000105002","4020500035","4020600039","4020500035","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","4010203015","4010203015","FREE","FREE"
"8000105003","4020500036","4020500035","4020500036","4020500035","4020500038","4020500037","4020500038","FREE","FREE","FREE","FREE","4010203018","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","4010201019","4010102011","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202014","4010101001","FREE","FREE","FREE"
"8000105004","4020500035","4020500036","4020500036","4020500038","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202014","FREE","FREE","FREE"
"8000105005","4020500035","4020500036","4020600039","4020600039","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","4010301025","4010301025","FREE","FREE","FREE","FREE","4010301025","4010301025","4010301025","FREE","FREE","FREE","FREE","4010301025","4010301025","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE","FREE","FREE"
"8000105006","4020500036","4020500035","4020500037","4020600039","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","FREE","4010202020","FREE","FREE","4010302026","4010302026","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102002","FREE","FREE","FREE"
"8000105007","4020500035","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203018","FREE","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","4010302026","4010400028","4010303027","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102002","FREE","FREE","4010202014","FREE"
"8000105008","4020500035","4020500036","4020500038","4020500038","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","4010203018","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010500031","FREE","FREE","FREE","FREE","FREE","4010500031","4010301025","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000105009","4020500037","4020500038","4020500038","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","4010101004","4010101004","4010101004","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","4010400028","4010400028","4010400028","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000105010","4020500036","4020500035","4020500037","4020500038","4020500038","4020500037","4020500035","4020500036","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","4010500030","4010500029","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","4010102011","FREE","FREE","4010400028","FREE","FREE","4010202020","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","FREE","4010303027","FREE","4010500031","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000106001","4020600039","4020500038","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102005","4010101004","4010202017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","4010400028","FREE","4010201022","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","4010202014","FREE","FREE","FREE","FREE"
"8000106002","4020500035","4020500037","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000106003","4020500035","4020500036","4020500038","4020500035","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","4010700034","FREE","FREE","4010101007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202014","FREE"
"8000106004","4020500035","4020600039","4020500037","4020700040","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202017","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","4010500030","FREE","FREE","4010400028","FREE","FREE","4010302026","4010500032","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","4010202014","FREE","FREE","FREE","FREE"
"8000106005","4020500037","4020500036","4020600039","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","4010302026","FREE","FREE","FREE","4010400028","4010400028","FREE","4010400028","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","4010202014","FREE","FREE","FREE"
"8000106006","4020500035","4020500036","4020600039","4020500038","4020500037","4020600039","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","4010303027","4010400028","FREE","FREE","FREE","FREE","4010303027","4010500031","4010303027","FREE","FREE","FREE","FREE","4010400028","4010303027","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","FREE"
"8000106007","4020700040","4020700040","4020500037","4020500036","4020500035","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","4010400028","FREE","4010600033","FREE","4010400028","FREE","FREE","FREE","FREE","4010301025","4010400028","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","FREE","4010400028","FREE","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE","FREE","FREE"
"8000106008","4020600039","4020500036","4020700040","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203018","FREE","FREE","FREE","4010103012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010303027","4010303027","FREE","FREE","FREE","FREE","FREE","4010303027","4010303027","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010400028","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000106009","4020500037","4020500036","4020500035","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010500029","FREE","4010500030","FREE","FREE","FREE","FREE","4010302026","4010400028","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","FREE","FREE","4010302026","FREE","FREE","FREE","FREE","4010202014","FREE","FREE","FREE","4010102002","FREE"
"8000106010","4020500035","4020500037","4020500036","4020500037","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201016","FREE","FREE","FREE","FREE","4010301025","FREE","FREE","4010301025","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010600033","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010301025","4010301025","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101001","FREE","FREE","FREE"
