"/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8000503018","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","FREE","4400300017","4400102002","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400202010","4400300017","4400300017","FREE","4400300017","4400203011","4400300017","FREE","4400300017","4400104004","FREE","4400300017","4400300017","4400300017","FREE","4400204012"
"8000503019","FREE","4400105005","4400300017","4400206014","4400300017","4400108008","4400300017","4400201009","FREE","4400300017","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","FREE","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","FREE","4400205013","4400300017","4400104004","4400300017","4400203011","4400300017","4400101001","FREE"
"8000503020","FREE","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400300017","4400300017","4400105005","FREE","FREE","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400205013","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400300017","4400201009","4400104004","FREE","FREE"
"8000504001","FREE","FREE","4400300017","4400300017","4400103003","FREE","FREE","FREE","4400300017","4400300017","4400205013","4400300017","4400300017","FREE","4400101001","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","4400300017","4400105005","FREE","4400300017","4400300017","4400201009","4400300017","4400300017","FREE","FREE","FREE","4400104004","4400300017","4400300017","FREE","FREE"
"8000504002","FREE","FREE","4400101001","4400300017","4400300017","FREE","FREE","FREE","4400204012","4400300017","4400300017","4400300017","4400300017","FREE","4400103003","4400300017","4400300017","4400300017","4400104004","4400300017","4400201009","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","FREE","4400300017","4400300017","4400205013","4400300017","4400106006","FREE","FREE","FREE","4400300017","4400300017","4400203011","FREE","FREE"
"8000504003","4400300017","4400300017","4400101001","FREE","4400300017","4400300017","4400300017","4400300017","4400202010","4400104004","FREE","4400300017","4400107007","4400300017","4400201009","4400300017","4400300017","FREE","4400300017","4400300017","4400103003","4400300017","4400300017","4400204012","FREE","4400300017","4400300017","4400106006","4400300017","4400300017","4400105005","FREE","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400206014","4400207015","4400300017","4400102002","4400205013","4400300017","FREE","4400300017","4400300017","4400300017"
"8000504004","4400300017","4400300017","4400101001","FREE","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","FREE","4400300017","4400106006","4400300017","4400300017","4400204012","4400300017","FREE","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","FREE","4400300017","4400105005","4400300017","4400300017","4400201009","4400300017","FREE","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","FREE","4400205013","4400300017","4400300017"
"8000504005","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400201009","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400103003","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400300017"
"8000504006","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017"
"8000504007","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400204012","4400101001","FREE","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400201009","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017"
"8000504008","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400208016","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400207015","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","4400102002","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","FREE","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400107007","4400300017","4400300017"
"8000504009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400208016","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400106006","4400201009"
"8000504010","4400101001","4400203011","4400300017","FREE","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400204012","4400106006","4400201009"
"8000504011","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400105005","4400101001","4400104004","4400300017","4400300017","4400201009","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE"
"8000504012","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400201009","4400203011","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE"
"8000504013","4400300017","4400101001","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400103003","4400300017","4400203011","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400204012","4400105005","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400206014","4400300017","FREE","FREE","4400300017","4400300017","4400201009","4400104004","4400300017"
"8000504014","4400300017","4400300017","4400300017","4400300017","4400105005","FREE","FREE","4400300017","4400300017","4400300017","4400204012","4400103003","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400203011","4400300017","4400104004","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400201009","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000504015","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400102002","FREE","FREE","FREE","FREE","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400205013","4400204012","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400202010","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000504016","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","FREE","4400201009","4400300017","4400300017","FREE","4400300017","4400300017","FREE","4400300017","4400300017","4400104004","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000504017","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","FREE","4400208016","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400201009","4400300017","4400300017","FREE","FREE","4400206014","4400300017","4400300017","4400300017","4400207015","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400108008"
"8000504018","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400204012","4400300017","FREE","FREE","4400201009","4400105005","4400203011","4400300017","4400300017","FREE","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003"
"8000504019","4400204012","FREE","FREE","FREE","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400203011","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","FREE","FREE","FREE","FREE","FREE","4400201009"
"8000504020","4400103003","FREE","FREE","FREE","FREE","FREE","4400205013","4400300017","4400300017","4400300017","4400203011","4400105005","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","FREE","FREE","FREE","FREE","FREE","4400101001"
"8000505001","FREE","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400101001","4400300017","4400207015","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400106006","4400300017","4400201009","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400108008","4400300017","FREE","4400107007","4400208016","4400300017","4400300017","4400300017","4400205013"
"8000505002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400102002","4400300017","4400300017","4400202010","4400203011","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400204012","4400106006","4400300017","4400103003","4400300017","4400300017","4400300017"
"8000505003","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400106006","4400105005","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","FREE","4400300017","4400205013","4400104004","4400103003","4400300017","4400207015","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400204012","4400107007","4400300017","4400300017","4400300017","FREE"
"8000505004","4400104004","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400107007","4400300017","4400300017","4400300017","4400206014","4400205013","4400300017","4400108008","4400106006","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400207015","4400300017","4400300017","4400300017","4400208016","4400101001","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000505005","FREE","4400105005","4400300017","4400300017","4400206014","4400107007","4400300017","FREE","4400300017","4400300017","4400108008","4400300017","4400208016","4400300017","FREE","4400300017","4400106006","4400205013","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","FREE","4400300017","4400207015","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009"
"8000505006","4400300017","4400102002","4400300017","4400108008","4400101001","4400300017","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400207015","4400208016","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400202010","4400106006","4400300017","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","4400107007","4400201009","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000505007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400107007","4400106006","4400207015","4400300017","4400206014","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000505008","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","4400207015","4400300017","4400300017","4400106006","4400104004","4400105005","4400204012","4400205013","4400101001","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000505009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400201009","4400105005","4400300017","4400300017","4400300017","4400205013","4400300017","4400102002","4400107007","4400300017","4400300017","4400208016","4400300017","4400300017","4400300017","4400300017","4400202010","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400108008","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400207015","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000505010","4400208016","4400103003","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400102002","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400201009","4400300017","4400300017","4400203011","FREE","4400300017","4400300017","4400108008","4400300017","4400204012","4400101001","FREE","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","FREE"
"8000505011","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004"
"8000505012","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017","4400107007","4400300017","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400108008","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400207015","4400300017","4400300017","4400300017","4400300017","4400206014"
"8000505013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400106006","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000505014","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","4400300017","4400300017","4400103003","4400300017","4400206014","4400300017","4400300017","4400104004","4400300017","4400207015","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400106006","4400300017","4400108008","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017"
"8000505015","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","4400300017","4400300017","4400300017","4400106006","4400101001","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400104004","4400300017","4400204012"
"8000505016","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400106006","4400201009"
"8000505017","4400206014","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400203011","4400300017","4400300017","4400300017","4400300017","4400103003","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400204012","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000505018","4400300017","4400300017","4400204012","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400105005","4400300017","4400300017","4400300017","4400206014","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400106006","4400104004","4400300017","4400300017","4400205013","4400300017","4400203011","4400300017","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000505019","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400104004","FREE","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400203011","4400300017","4400103003","4400300017","4400205013","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400105005","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017"
"8000505020","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400104004","FREE","4400300017","4400300017","4400101001","4400300017","4400300017","4400300017","4400203011","4400300017","4400103003","4400300017","4400205013","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400105005","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","FREE","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017"
"8000506001","4400300017","4400300017","4400300017","4400107007","4400300017","4400300017","4400207015","4400300017","4400102002","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","4400300017","4400101001","4400300017","4400104004","4400106006","4400300017","4400300017","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400202010","4400204012","4400300017","4400300017","4400300017","4400300017","4400208016","4400203011","4400105005","4400300017","4400300017","4400300017","4400300017","4400206014","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400205013"
"8000506002","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400208016","4400202010","4400300017","4400300017","4400207015","4400206014","4400300017","4400300017","4400300017","4400108008","4400106006","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400103003","4400201009","4400300017","4400107007","4400300017","4400300017","4400300017","4400102002","4400300017","4400203011","4400104004","4400300017","4400300017","4400101001","4400300017","4400300017","4400105005","4400300017","4400300017","4400300017"
"8000506003","4400201009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","4400108008","4400300017","4400208016","4400300017","4400207015","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400300017","4400101001","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400104004","4400205013","4400300017","4400300017","4400102002","4400203011","4400300017","4400300017","4400300017","4400300017"
"8000506004","4400300017","4400300017","4400102002","4400300017","4400300017","4400103003","4400202010","4400300017","4400105005","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400104004","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400207015","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","4400206014"
"8000506005","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","4400101001","4400300017","4400103003","4400300017","4400207015","4400201009","4400300017","4400300017","4400104004","4400300017","4400300017","4400106006","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","4400204012","4400105005","4400300017","4400300017","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013"
"8000506006","4400300017","4400300017","4400300017","4400300017","4400300017","4400105005","4400206014","4400300017","4400107007","4400204012","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400207015","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400300017","4400300017","4400201009","4400106006","4400300017","4400300017"
"8000506007","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014","4400104004","4400300017","4400106006","4400107007","4400102002","4400300017","4400300017","4400300017","4400300017","4400207015","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400202010","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
"8000506008","4400300017","4400300017","4400201009","4400300017","4400300017","4400300017","4400206014","4400300017","4400102002","4400300017","4400300017","4400108008","4400300017","4400208016","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400106006","4400207015","4400104004","4400300017","4400300017","4400202010","4400105005","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400300017","4400203011","4400300017","4400300017","4400107007","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012"
"8000506009","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400107007","4400300017","4400300017","4400300017","4400105005","4400300017","4400300017","4400108008","4400300017","4400300017","4400300017","4400103003","4400106006","4400300017","4400300017","4400300017","4400208016","4400300017","4400300017","4400300017","4400300017","4400206014","4400207015","4400201009","4400300017","4400204012","4400202010","4400203011","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400102002"
"8000506010","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400107007","4400300017","4400300017","4400300017","4400201009","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017","4400106006","4400300017","4400102002","4400300017","4400103003","4400300017","4400300017","4400207015","4400300017","4400300017","4400101001","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400204012","4400203011","4400108008","4400208016","4400206014"
"8000506011","4400300017","4400300017","4400104004","4400208016","4400300017","4400300017","4400206014","4400300017","4400101001","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400108008","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013","4400300017","4400300017","4400300017","4400106006","4400300017","4400201009","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400105005","4400300017","4400300017","4400300017","4400300017"
"8000506012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400104004","4400300017","4400300017","4400108008","4400208016","4400300017","4400300017","4400300017","4400101001","4400106006","4400103003","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400201009","4400205013","4400300017","4400300017","4400300017","4400203011","4400105005","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400206014"
"8000506013","4400300017","4400300017","4400206014","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400101001","4400106006","4400201009","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400104004","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400103003","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400105005","4400300017","4400205013","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017"
